periodo,IS_sector_privado_registrado,IS_sector_publico,IS_total_registrado,IS_sector_no_registrado,IS_indice_total
1/1/2017,106.34,102.68,104.98,102,104.38
1/2/2017,107.69,103.08,105.97,104.94,105.76
1/3/2017,109.26,107.24,108.5,110.08,108.82
1/4/2017,112.93,110.81,112.14,114.61,112.63
1/5/2017,115.18,112.28,114.09,115.79,114.43
1/6/2017,117.23,115.3,116.51,116.24,116.45
1/7/2017,122.8,118.49,121.19,120.74,121.1
1/8/2017,124.55,121.54,123.43,126.06,123.95
1/9/2017,126,123.89,125.21,127.7,125.71
1/10/2017,128.23,126.03,127.4,128.5,127.62
1/11/2017,130.04,127.32,129.03,131.95,129.61
1/12/2017,131.01,127.94,129.86,135.71,131.03
1/1/2018,133.25,128.45,131.46,136.57,132.48
1/2/2018,134.31,129.32,132.44,138.19,133.59
1/3/2018,136.23,132.97,135.01,140.7,136.14
1/4/2018,141.01,135.01,138.77,144,139.81
1/5/2018,144.47,137.16,141.74,142.73,141.93
1/6/2018,146.47,138.97,143.67,141.02,143.14
1/7/2018,149.94,143.01,147.36,145.09,146.9
1/8/2018,154.2,147.26,151.61,148.81,151.05
1/9/2018,157.82,152.41,155.8,154.02,155.44
1/10/2018,163.86,159.53,162.24,156.63,161.12
1/11/2018,168.06,162.69,166.05,164.93,165.83
1/12/2018,170.85,166.66,169.29,172.61,169.94
1/1/2019,176.91,170.98,174.7,177.16,175.19
1/2/2019,181.76,175.37,179.37,181.72,179.84
1/3/2019,188.26,184.99,187.04,186.59,186.94
1/4/2019,193.47,188.65,191.67,188.85,191.11
1/5/2019,201.66,193.23,198.51,188.44,196.51
1/6/2019,206.99,197.23,203.34,188.78,200.44
1/7/2019,215.86,209.52,213.49,195.49,209.9
1/8/2019,221.87,213.21,218.63,200.52,215.02
1/9/2019,227.72,220.8,225.13,203.25,220.77
1/10/2019,236.31,227.45,233,207.5,227.92
1/11/2019,242.85,231.39,238.57,212.21,233.32
1/12/2019,246.54,238.13,243.4,223.54,239.44
1/1/2020,267.6,244.59,259.01,232.76,253.78
1/2/2020,279.97,251.57,269.36,240.22,263.55
1/3/2020,286.4,262.08,277.31,248.53,271.58
1/4/2020,285.74,263.54,277.45,250.23,272.03
1/5/2020,285.06,264.92,277.54,248.98,271.84
1/6/2020,285.44,267.19,278.62,252.74,273.47
1/7/2020,289.19,270.14,282.07,263.49,278.37
1/8/2020,295.13,272.2,286.56,273.32,283.92
1/9/2020,301.54,280.93,293.84,279.69,291.02
1/10/2020,317.66,289.72,307.22,285.74,302.94
1/11/2020,326.04,294.87,314.4,306.96,312.92
1/12/2020,331.26,301.97,320.32,310.78,318.42
1/1/2021,344.61,309.32,331.43,318.42,328.84
1/2/2021,362.33,321.14,346.94,327.43,343.06
1/3/2021,376.68,345.37,364.98,341.36,360.28
1/4/2021,394.54,350.74,378.18,346.34,371.84
1/5/2021,408.38,360.83,390.62,349.47,382.42
1/6/2021,415.55,375.32,400.52,353.54,391.16
1/7/2021,437,397.93,422.41,362.03,410.37
1/8/2021,451.64,410.82,436.4,371.24,423.41
1/9/2021,467.91,438.07,456.77,374.34,440.34
1/10/2021,485.29,454.12,473.64,395.51,458.07
1/11/2021,507,466.54,491.89,412.7,476.11
1/12/2021,514.34,479.05,501.16,436.8,488.33
1/1/2022,538.17,493.03,521.3,447.94,506.68
1/2/2022,559.01,504.7,538.72,457.61,522.56
1/3/2022,589.31,565.82,580.53,483.35,561.16
1/4/2022,622.29,580.87,606.82,517.48,589.01
1/5/2022,665.66,619.44,648.39,534.17,625.63
1/6/2022,699.36,647.9,680.14,558.71,655.94
1/7/2022,737.01,695.34,721.44,575.31,692.32
1/8/2022,797.04,724.84,770.07,606.44,737.46
1/9/2022,843.4,780.81,820.02,654.74,787.08
1/10/2022,888.1,827.5,865.46,675.21,827.54
1/11/2022,953.34,874.76,923.98,718.67,883.06
1/12/2022,996.62,955.04,981.09,722.55,929.56
1/1/2023,1042.37,992.3,1023.66,771.21,973.35
1/2/2023,1114.31,1030.47,1082.99,825.87,1031.74
1/3/2023,1202.08,1198.55,1200.76,876.04,1136.04
1/4/2023,1284.57,1247.39,1270.68,918.51,1200.49
1/5/2023,1389.24,1353.08,1375.74,947.84,1290.46
1/6/2023,1468.48,1434.49,1455.78,1018.88,1368.71
1/7/2023,1626.81,1625.51,1626.33,1090.31,1519.5
1/8/2023,1762.46,1723.25,1747.82,1183.42,1635.33
1/9/2023,1995.58,1911.97,1964.34,1271.63,1826.29
1/10/2023,2169.81,2086.82,2138.81,1334.03,1978.41
1/11/2023,2385.55,2250.34,2335.04,1445.34,2157.73
1/12/2023,2648.87,2374.02,2546.2,1555.65,2348.79
1/1/2024,3178.28,2660.85,2985,1730.47,2734.97
1/2/2024,3625.42,3062.83,3415.26,1829.42,3099.2
1/3/2024,3987.49,3400.49,3768.21,2007.72,3417.34
1/4/2024,4464.6,3656.07,4162.57,2163.76,3764.21
1/5/2024,4807.34,3957.89,4490.03,2419.24,4077.32
1/6/2024,5129.04,4113.99,4749.88,2642.13,4329.8
1/7/2024,5450.78,4390.43,5054.69,3040.48,4653.26
1/8/2024,5725.38,4594.73,5303.03,3362.05,4916.19
1/9/2024,5941.03,4774.83,5505.4,3710.18,5147.61
