year,quarter,decil,ing totales,it
2024,3,1,389480529,153%
2024,3,2,661292113,152%
2024,3,3,738482225,134%
2024,3,4,817497782,143%
2024,3,5,940573839,142%
2024,3,6,1088631792,144%
2024,3,7,1308281539,136%
2024,3,8,1493655871,145%
2024,3,9,1870324700,148%
2024,3,10,3019310824,143%
2024,2,1,255116986,130%
2024,2,2,433696678,127%
2024,2,3,550384951,132%
2024,2,4,571839810,126%
2024,2,5,661934767,132%
2024,2,6,753415467,138%
2024,2,7,958758185,139%
2024,2,8,1027729430,123%
2024,2,9,1267499219,119%
2024,2,10,2106946840,113%
2024,1,1,195523453,127%
2024,1,2,341752557,138%
2024,1,3,416405909,138%
2024,1,4,454965048,142%
2024,1,5,502738308,146%
2024,1,6,547054442,131%
2024,1,7,689676473,145%
2024,1,8,834047872,150%
2024,1,9,1069187797,164%
2024,1,10,1864405365,163%
2023,4,1,154298424,133%
2023,4,2,246871954,129%
2023,4,3,301986707,136%
2023,4,4,321335520,133%
2023,4,5,344484501,116%
2023,4,6,416239973,123%
2023,4,7,475967583,122%
2023,4,8,556710522,118%
2023,4,9,653356978,121%
2023,4,10,1144736876,137%
2023,3,1,116121489,131%
2023,3,2,191849421,137%
2023,3,3,221991293,128%
2023,3,4,240758697,131%
2023,3,5,296893323,149%
2023,3,6,338128153,143%
2023,3,7,390691566,147%
2023,3,8,469974469,146%
2023,3,9,537767710,135%
2023,3,10,836774279,150%
2023,2,1,88973547,
2023,2,2,140201304,
2023,2,3,172796618,
2023,2,4,183610098,
2023,2,5,199921113,
2023,2,6,236712656,
2023,2,7,266558955,
2023,2,8,321923145,
2023,2,9,399358909,
2023,2,10,556769855,
